Box,Treatment,Block,Leaf,Leaflet,Direction,Te,Tu
2,10Te10Tu48h,1,3,3,Down,3,1
2,10Te10Tu48h,1,3,4,Down,1,1
2,10Te10Tu48h,1,3,5,Down,2,0
2,10Te10Tu48h,1,3,1,Up,0,0
2,10Te10Tu48h,1,3,2,Up,12,6
2,10Te10Tu48h,1,3,3,Up,3,0
2,10Te10Tu48h,1,3,4,Up,2,1
2,10Te10Tu48h,1,3,5,Up,6,4
2,10Te10Tu48h,1,4,1,Down,0,0
2,10Te10Tu48h,1,4,2,Down,0,0
2,10Te10Tu48h,1,4,3,Down,1,1
2,10Te10Tu48h,1,4,4,Down,1,6
2,10Te10Tu48h,1,4,5,Down,0,2
2,10Te10Tu48h,1,4,1,Up,1,2
2,10Te10Tu48h,1,4,2,Up,0,0
2,10Te10Tu48h,1,4,3,Up,1,3
2,10Te10Tu48h,1,4,4,Up,6,7
2,10Te10Tu48h,1,4,5,Up,0,0
2,10Te10Tu48h,1,5,1,Down,0,0
2,10Te10Tu48h,1,5,2,Down,0,0
2,10Te10Tu48h,1,5,3,Down,0,0
2,10Te10Tu48h,1,5,4,Down,0,0
2,10Te10Tu48h,1,5,1,Up,1,1
2,10Te10Tu48h,1,5,2,Up,0,0
2,10Te10Tu48h,1,5,3,Up,0,1
2,10Te10Tu48h,1,5,4,Up,3,1
3,10Te10Tu48h,1,2,1,Down,0,0
3,10Te10Tu48h,1,2,2,Down,5,5
3,10Te10Tu48h,1,2,3,Down,1,5
3,10Te10Tu48h,1,2,1,Up,0,0
3,10Te10Tu48h,1,2,2,Up,5,6
3,10Te10Tu48h,1,2,3,Up,7,8
3,10Te10Tu48h,1,3,1,Down,4,5
3,10Te10Tu48h,1,3,2,Down,0,0
3,10Te10Tu48h,1,3,3,Down,1,0
3,10Te10Tu48h,1,3,4,Down,4,3
3,10Te10Tu48h,1,3,5,Down,3,12
3,10Te10Tu48h,1,3,1,Up,15,5
3,10Te10Tu48h,1,3,2,Up,3,0
3,10Te10Tu48h,1,3,3,Up,3,11
3,10Te10Tu48h,1,3,4,Up,1,5
3,10Te10Tu48h,1,3,5,Up,5,0
3,10Te10Tu48h,1,4,1,Down,0,0
3,10Te10Tu48h,1,4,2,Down,12,1
3,10Te10Tu48h,1,4,3,Down,5,2
3,10Te10Tu48h,1,4,4,Down,7,1
3,10Te10Tu48h,1,4,5,Down,2,2
3,10Te10Tu48h,1,4,1,Up,13,1
3,10Te10Tu48h,1,4,2,Up,20,3
3,10Te10Tu48h,1,4,3,Up,10,12
3,10Te10Tu48h,1,4,4,Up,2,3
3,10Te10Tu48h,1,4,5,Up,5,4
3,10Te10Tu48h,1,5,1,Down,0,11
3,10Te10Tu48h,1,5,2,Down,1,8
3,10Te10Tu48h,1,5,3,Down,3,6
3,10Te10Tu48h,1,5,4,Down,6,11
3,10Te10Tu48h,1,5,5,Down,0,10
3,10Te10Tu48h,1,5,1,Up,2,63
3,10Te10Tu48h,1,5,2,Up,3,23
3,10Te10Tu48h,1,5,3,Up,3,8
3,10Te10Tu48h,1,5,4,Up,0,22
3,10Te10Tu48h,1,5,5,Up,0,15
4,10Te10Tu48h,1,2,1,Down,0,3
4,10Te10Tu48h,1,2,2,Down,6,24
4,10Te10Tu48h,1,2,3,Down,2,2
4,10Te10Tu48h,1,2,1,Up,2,7
4,10Te10Tu48h,1,2,2,Up,2,37
4,10Te10Tu48h,1,2,3,Up,5,3
4,10Te10Tu48h,1,3,1,Down,6,2
4,10Te10Tu48h,1,3,2,Down,0,0
4,10Te10Tu48h,1,3,3,Down,7,3
4,10Te10Tu48h,1,3,4,Down,0,0
4,10Te10Tu48h,1,3,5,Down,2,2
4,10Te10Tu48h,1,3,1,Up,12,7
4,10Te10Tu48h,1,3,2,Up,0,0
4,10Te10Tu48h,1,3,3,Up,8,8
4,10Te10Tu48h,1,3,4,Up,0,0
4,10Te10Tu48h,1,3,5,Up,12,8
4,10Te10Tu48h,1,4,1,Down,0,7
4,10Te10Tu48h,1,4,2,Down,1,1
4,10Te10Tu48h,1,4,3,Down,3,6
4,10Te10Tu48h,1,4,4,Down,8,2
4,10Te10Tu48h,1,4,5,Down,0,0
4,10Te10Tu48h,1,4,1,Up,1,25
4,10Te10Tu48h,1,4,2,Up,3,31
4,10Te10Tu48h,1,4,3,Up,8,24
4,10Te10Tu48h,1,4,4,Up,5,38
4,10Te10Tu48h,1,4,5,Up,4,7
4,10Te10Tu48h,1,5,1,Down,0,0
4,10Te10Tu48h,1,5,2,Down,0,0
4,10Te10Tu48h,1,5,3,Down,0,0
4,10Te10Tu48h,1,5,4,Down,0,0
4,10Te10Tu48h,1,5,5,Down,0,0
4,10Te10Tu48h,1,5,1,Up,0,0
4,10Te10Tu48h,1,5,2,Up,0,0
